Province,Id,Name,RawCity,Reason
ALICANTE,00000000-0000-0000-0000-000000003095,"CLINICA VISTAHERMOSA GRUPO HLA, S.L.",,sin ciudad en RAW ni respaldo antiguo
ALICANTE,00000000-0000-0000-0000-000000003096,QUIRONSALUD ALICANTE,,sin ciudad en RAW ni respaldo antiguo
ALICANTE,00000000-0000-0000-0000-000000003097,SAU ELCHE,,sin ciudad en RAW ni respaldo antiguo
ALICANTE,00000000-0000-0000-0000-000000003098,"Vicente Verdú, IES",,sin ciudad en RAW ni respaldo antiguo
BALEARES,00000000-0000-0000-0000-000000003099,Centro Universitario Beato Luis Belda,,sin ciudad en RAW ni respaldo antiguo
CASTELLON,00000000-0000-0000-0000-000000003100,Centro de EntrenamientoTU10 By Bernardo Casterá,,sin ciudad en RAW ni respaldo antiguo
CASTELLON,00000000-0000-0000-0000-000000003101,MEDAC Castellón,,sin ciudad en RAW ni respaldo antiguo
CASTELLON,00000000-0000-0000-0000-000000003102,SAU CASTELLÓN,,sin ciudad en RAW ni respaldo antiguo
MURCIA,00000000-0000-0000-0000-000000003103,EL LIMONAR INTERNATIONAL SCHOOL. MONTEVIDA,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003104,FUNDACION SENDAS DE LUNA,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003105,HOSPITAL INTERMUTUAL DE LAVANTE,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003106,HOSPITAL LA SALUD,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003107,MEDAC Valencia,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003108,Prueba Yolanda,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003109,RAMÓN Y CAJAL,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003110,SAGRADO CORAZÓN DE JESÚS,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003111,SAU VALENCIA,,sin ciudad en RAW ni respaldo antiguo
VALENCIA,00000000-0000-0000-0000-000000003112,Shackleton International School,,sin ciudad en RAW ni respaldo antiguo
